Name,CR,Type,Size,Image URL
Mastiff,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/190/100/100/636252763294509791.jpeg
Merfolk,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/196/100/100/636252763840672778.jpeg
Noble,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/276/100/100/636252769860656821.jpeg
Blood-Toll Harpy,0.125,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/10836/521/100/100/637266341393573674.jpeg
Xvart Speaker,0.125,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/12/818/100/100/636353883002121935.jpeg
Icewind Kobold,0.125,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/12734/906/100/100/637357081687337166.jpeg
Mountain Goat,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/12734/931/100/100/637357081729925065.jpeg
Yeti Tyke,0.125,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/12734/970/100/100/637357081782652663.jpeg
Cultist,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/14/480/100/100/636364323105552606.jpeg
Twig Blight,0.125,Plant,Small,https://www.dndbeyond.com/avatars/thumbnails/16/463/100/100/636376286997146437.jpeg
Monodrone,0.125,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/502/100/100/636376312256149982.jpeg
Flying Snake,0.125,Beast,Tiny,https://www.dndbeyond.com/avatars/thumbnails/16/516/100/100/636376319640282506.jpeg
Giant Rat,0.125,Beast,Small,https://www.dndbeyond.com/avatars/thumbnails/16/537/100/100/636376332197484465.jpeg
Faerl,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/16420/917/100/100/637514193131489942.jpeg
Gremishka,0.125,Monstrosity,Tiny,https://www.dndbeyond.com/avatars/thumbnails/17747/552/100/100/637568596398340627.jpeg
Brigganock,0.125,Fey,Tiny,https://www.dndbeyond.com/avatars/thumbnails/20472/356/100/100/637677436914231126.jpeg
Displacer Beast Kitten,0.125,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/20472/386/100/100/637677438123519479.jpeg
Flying Rocking Horse,0.125,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/20472/413/100/100/637677439288103112.jpeg
Hoard Scarab,0.125,Monstrosity,Tiny,https://www.dndbeyond.com/avatars/thumbnails/21205/277/100/100/637707682522740199.jpeg
Gadabout,0.125,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/25265/573/100/100/637861450548192450.jpeg
Goon Balloon,0.125,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/25265/576/100/100/637861450554873214.jpeg
Dolphin,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/285/100/100/637880557380937093.jpeg
Neogi Hatchling,0.125,Aberration,Tiny,https://www.dndbeyond.com/avatars/thumbnails/25746/562/100/100/637880557872232390.jpeg
Xvart,0.125,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/764/100/100/637880558174898270.jpeg
Young Kruthik,0.125,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/777/100/100/637880558193749975.jpeg
Flapjack the Flumph,0.125,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/28079/836/100/100/637961800769577092.jpeg
Young Kruthik,0.125,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/281/229/100/100/636603640945466556.jpeg
Kobold,0.125,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/29317/459/100/100/638004850462112894.jpeg
Stirge,0.125,Beast,Tiny,https://www.dndbeyond.com/avatars/thumbnails/29317/496/100/100/638004852558334625.jpeg
Mwaxanaré,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/30/759/100/100/636395099840457934.jpeg
Hadozee Shipmate,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/30164/521/100/100/638036924895150119.jpeg
Guardian of Gorm,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/42855/627/100/100/638560560751654331.jpeg
Mage of Usamigaras,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/42855/633/100/100/638560560761638305.jpeg
Warrior of Madarua,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/42855/662/100/100/638560560805630456.jpeg
Giant Crab,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/239/100/100/638607418420731717.jpeg
Giant Weasel,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/589/100/100/638607426812885808.jpeg
Mastiff,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/692/100/100/638607428415948051.jpeg
Mule,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/703/100/100/638607428703028777.jpeg
Camel,0.125,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/43939/72/100/100/638607413886651586.jpeg
Pony,0.125,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/741/100/100/638607429634189821.jpeg
Slaad Tadpole,0.125,Aberration,Tiny,https://www.dndbeyond.com/avatars/thumbnails/43939/835/100/100/638607432317842368.jpeg
Flumph,0.125,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/819/100/100/638741964056234321.jpeg
Flying Snake,0.125,Monstrosity,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47138/821/100/100/638741964058574345.jpeg
Giant Rat,0.125,Beast,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/875/100/100/638741964132622849.jpeg
Goblin Minion,0.125,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/923/100/100/638741964200236920.jpeg
Guard,0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47138/955/100/100/638741964242535277.jpeg
Noble,0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/122/100/100/638741964473053055.jpeg
Kobold Warrior,0.125,Dragon,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/20/100/100/638741964333543334.jpeg
Stirge,0.125,Monstrosity,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47139/272/100/100/638741964681890158.jpeg
Twig Blight,0.125,Plant,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/318/100/100/638741964747476449.jpeg
Warrior Infantry,0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/355/100/100/638741964797380677.jpeg
Manes,0.125,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/56/100/100/638741964381917736.jpeg
Merfolk Skirmisher,0.125,Elemental,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/66/100/100/638741964397433543.jpeg
Modron Monodrone,0.125,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/87/100/100/638741964425143488.jpeg
Bandit,0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47144/651/100/100/638742155708386761.jpeg
Blood Hawk,0.125,Beast,Small,https://www.dndbeyond.com/avatars/thumbnails/47144/684/100/100/638742156672357007.jpeg
Cultist,0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47158/388/100/100/638742812286582024.jpeg
Venomous Snake,0.125,Beast,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47158/998/100/100/638742839551377351.jpeg
Cultist of Demogorgon,0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/51925/769/100/100/638951219345551152.jpeg
