{///monster[몬스터키]: [이름, 설명, 레이팅, 체력, 공격력, 방어력]
    "slime": ["슬라임", "가장 기초적인 몬스터. 점액질로 이루어져 물리 공격에 내성이 있다.", 50, 20, 7, 10],
    "giant_rat": ["거대 쥐", "하수구나 던전 초입에 서식하는 집채만한 쥐. 위생 상태가 나쁘다.", 50, 30, 11, 7],
    "bat_swarm": ["박쥐 떼", "천장에 매달려 있다가 침입자를 덮치는 박쥐 무리.", 50, 30, 11, 7],
    "goblin": ["고블린", "약하고 비열한 소형 인간형 몬스터. 무리를 지어 행동한다.", 100, 70, 18, 14],
    "kobold": ["코볼트", "용의 혈통을 주장하는 개를 닮은 소형 몬스터. 함정을 잘 다룬다.", 100, 60, 16, 16],
    "skeleton": ["스켈레톤", "부서진 뼈만 남은 언데드. 찌르기 공격에 강하다.", 150, 90, 21, 26],
    "zombie": ["좀비", "느리지만 지치지 않고 덤벼드는 되살아난 시체.", 150, 200, 35, 8],
    "giant_spider": ["자이언트 스파이더", "거미줄로 먹이를 옭아매는 거대한 거미.", 150, 100, 27, 22],
    "giant_centipede": ["자이언트 센티피드", "독을 품은 거대한 지네.", 100, 40, 14, 19],
    "wolf": ["늑대", "던전 주변을 배회하는 야생 늑대. 협동 공격을 한다.", 150, 90, 30, 21],
    "gremlin": ["그렘린", "마도구와 기계 장치를 고장 내는 요정.", 100, 50, 17, 17],
    "mandrake": ["맨드레이크", "비명을 질러 정신을 잃게 만드는 식물형 몬스터.", 50, 30, 8, 8],
    "will_o_wisp": ["윌 오 위스프", "도깨비불. 물리 공격이 통하지 않으며 전격을 내뿜는다.", 200, 50, 16, 47],
    "hobgoblin": ["홉고블린", "고블린보다 체계적이고 규율을 중시하는 전사들.", 200, 120, 32, 32],
    "mudman": ["머드맨", "진흙으로 이루어진 몬스터. 움직임이 둔하다.", 100, 40, 9, 22],
    "stirge": ["스트라이즈", "모기처럼 피를 빨아먹는 비행 괴물.", 150, 120, 29, 19],
    "goblin_archer": ["고블린 아처", "조잡한 활로 원거리 공격을 하는 고블린.", 100, 60, 21, 14],
    "kobold_miner": ["코볼트 광부", "곡괭이를 든 코볼트. 단단한 껍질을 가지고 있다.", 100, 50, 14, 18],
